chrom	start	end	ratio	ratio2
12	98941001	98942000	0.684208874460311	0.684208874460311
12	98942001	98943000	0.811448263663374	0.811448263663374
12	98943001	98944000	0.654684626375635	0.654684626375635
12	98944001	98945000	0.746990435391208	0.746990435391208
12	98945001	98946000	0.643638966721773	0.643638966721773
12	98946001	98947000	0.644859668863499	0.644859668863499
12	98947001	98948000	0.748143696526051	0.748143696526051
12	98948001	98949000	0.854374112479106	0.854374112479106
12	98949001	98950000	0.785911914443469	0.785911914443469
12	98950001	98951000	0.816478419268558	0.816478419268558
12	98951001	98952000	0.869549072035603	0.869549072035603
12	98952001	98953000	0.635192616615654	0.635192616615654
12	98953001	98954000	0.426145707557449	0.426145707557449
12	98954001	98955000	0.958048867691273	0.958048867691273
12	98955001	98956000	0.713744931479481	0.713744931479481
12	98956001	98957000	0.649749671410292	0.649749671410292
12	98957001	98958000	0.665885170697227	0.665885170697227
12	98958001	98959000	0.920126029198883	0.920126029198883
12	98959001	98960000	0.831286233749568	0.831286233749568
12	98960001	98961000	0.726606610232298	0.726606610232298
12	98961001	98962000	0.521227560177612	0.521227560177612
12	98962001	98963000	0.584363878616743	0.584363878616743
12	98963001	98964000	0.728873928327397	0.728873928327397
12	98964001	98965000	0.903490610005087	0.903490610005087
12	98965001	98966000	0.795769789353789	0.795769789353789
12	98966001	98967000	0.719947073849447	0.719947073849447
12	98967001	98968000	0.725032055318236	0.725032055318236
12	98968001	98969000	0.623510768779235	0.623510768779235
12	98969001	98970000	0.890125046093669	0.890125046093669
12	98970001	98971000	0.748129140323207	0.748129140323207
12	98971001	98972000	0.642588927764664	0.642588927764664
12	98972001	98973000	0.554169226230092	0.554169226230092
12	98973001	98974000	0.683182590434764	0.683182590434764
12	98974001	98975000	0.590710533548129	0.590710533548129
12	98975001	98976000	0.677418931565976	0.677418931565976
12	98976001	98977000	0.344115847794969	0.344115847794969
12	98977001	98978000	0.91913232789897	0.91913232789897
12	98978001	98979000	0.691674661737223	0.691674661737223
12	98979001	98980000	0.771055325603906	0.771055325603906
12	98980001	98981000	0.893230789248586	0.893230789248586
12	98981001	98982000	0.802278794585626	0.802278794585626
12	98982001	98983000	0.785899445378676	0.785899445378676
12	98983001	98984000	0.8453807007688	0.8453807007688
12	98984001	98985000	0.808641049251655	0.808641049251655
12	98985001	98986000	0.80642291036031	0.80642291036031
12	98986001	98987000	0.73155095824804	0.73155095824804
12	98987001	98988000	0.783021566146	0.783021566146
12	98988001	98989000	0.805138029662595	0.805138029662595
12	98989001	98990000	0.744736311551919	0.744736311551919
12	98990001	98991000	0.673388170263261	0.673388170263261
12	98991001	98992000	0.755251621512603	0.755251621512603
12	98992001	98993000	0.876292169451765	0.876292169451765
12	98993001	98994000	0.824216092223279	0.824216092223279
12	98994001	98995000	0.775728095155217	0.775728095155217
12	98995001	98996000	0.699662123010642	0.699662123010642
12	98996001	98997000	0.844426936158636	0.844426936158636
12	98997001	98998000	0.575011915531471	0.575011915531471
12	98998001	98999000	0.489161202823334	0.489161202823334
